Time	Open	High	Low	Close	Volume
2017-05-23 00:00:00	2104.6	2153.2	2101.3	2132.9	36
2017-05-23 00:30:00	2132.8	2154.2	2112.8	2142.1	45
2017-05-23 01:00:00	2142.4	2181.1	2117.5	2175.1	31
2017-05-23 01:30:00	2175.1	2180	2120	2152.7	31
2017-05-23 02:00:00	2152.7	2155.6	2100.4	2125	59
2017-05-23 02:30:00	2124.9	2156.5	2111.6	2156.3	49
2017-05-23 03:00:00	2156.3	2165.6	2130.8	2153.4	46
2017-05-23 03:30:00	2153.8	2174.3	2141.3	2170	28
2017-05-23 04:00:00	2170	2178.9	2136.9	2178	21
2017-05-23 04:30:00	2178.1	2202.8	2160.5	2192.9	46
2017-05-23 05:00:00	2191.4	2209.1	2158.8	2198.3	52
2017-05-23 05:30:00	2198.3	2205.3	2165.2	2190	12
2017-05-23 06:00:00	2189.4	2203.7	2143.6	2167.1	37
2017-05-23 06:30:00	2167.1	2173.7	2122.4	2159.6	31
2017-05-23 07:00:00	2151.2	2191.1	2144.5	2166	34
2017-05-23 07:30:00	2165.9	2190	2150.9	2180.6	36
2017-05-23 08:00:00	2180.7	2187.2	2139.2	2154.3	49
2017-05-23 08:30:00	2154.4	2177.1	2142.4	2170.2	48
2017-05-23 09:00:00	2170.1	2176.3	2136.1	2144.7	90
2017-05-23 09:30:00	2144.7	2180.2	2113.1	2148.2	89
2017-05-23 10:00:00	2149	2195.9	2142.4	2183.7	84
2017-05-23 10:30:00	2184.1	2208	2157	2204.1	57
2017-05-23 11:00:00	2204.1	2217.4	2170.7	2215.5	51
2017-05-23 11:30:00	2215.5	2238.8	2169.5	2215.6	50
2017-05-23 12:00:00	2215.6	2233.3	2181.7	2225.1	35
2017-05-23 12:30:00	2225	2233.8	2195.8	2227.8	33
2017-05-23 13:00:00	2227.7	2232.4	2189.8	2221.7	95
2017-05-23 13:30:00	2221.7	2248.2	2177.2	2227.9	95
